team,opponent,location,opponent_trend_predict,location_trend_predict,current_trend_predict,runs_scored
Pakistan,West Indies,Kingstown,235.8,200.3938561402722,258.27894736842103,192
Pakistan,West Indies,Gros Islet,231.3,265.52158431697535,238.7684210526316,258
Pakistan,West Indies,Gros Islet,257.9,269.55151359269985,235.9578947368421,303
Bangladesh,England,The Oval,133.0,155.17290802627983,166.5157894736842,190
Australia,England,Bristol,260.9,293.7973261019667,271.45789473684215,252
Australia,England,Chester-le-Street,222.60000000000002,167.75534508491882,271.7105263157895,266
Bangladesh,Australia,Canterbury,121.59999999999998,180.60456526066665,174.0,250
Australia,England,Leeds,259.3,232.37279051210976,283.55263157894734,219
England,Australia,Lord's,156.6,320.3,284.6421052631579,223
England,Australia,The Oval,188.2,266.1,290.2263157894737,228
West Indies,India,Dambulla,312.9,193.30653536225034,197.1263157894737,178
Sri Lanka,West Indies,Dambulla,158.8,342.99999999999994,229.05789473684212,241
India,Sri Lanka,Dambulla,236.7,221.1939512113155,262.11052631578946,220
West Indies,Sri Lanka,Colombo (RPS),307.8,233.4781296821607,193.7263157894737,226
Sri Lanka,India,Colombo (RPS),222.60000000000002,202.6,241.27894736842103,281
New Zealand,India,Bulawayo,118.89999999999998,154.2044244916211,254.88947368421054,215
Sri Lanka,Bangladesh,Colombo (SSC),220.00000000000003,292.8,256.27894736842103,269
Sri Lanka,Bangladesh,Colombo (RPS),247.33333333333337,251.1,260.4736842105263,295
New Zealand,India,Harare,166.39999999999998,239.37001729567444,250.03157894736842,278
Bangladesh,Sri Lanka,Colombo (RPS),136.6,142.0,185.2526315789474,108
India,New Zealand,Harare,374.4,297.11544887703974,266.0736842105263,276
New Zealand,South Africa,Bloemfontein,232.9,210.9490405155342,260.62105263157895,249
India,Sri Lanka,Nagpur,181.90000000000003,271.0,273.0473684210526,350
Sri Lanka,India,Mohali,295.70000000000005,259.1401015009411,269.3,122
South Africa,New Zealand,Cape Town,190.3,276.4,246.56842105263158,201
New Zealand,South Africa,Port Elizabeth,254.00000000000003,224.53631896530302,269.02631578947364,243
Sri Lanka,India,Jaipur,180.7,278.30104471914103,248.96315789473684,298
Sri Lanka,India,Pune,220.00000000000003,268.14790128891303,261.1,261
New Zealand,South Africa,Centurion,242.1,233.28421110362441,265.10526315789474,215
India,Sri Lanka,Ahmedabad,287.1,365.74907313098396,284.36842105263156,285
Sri Lanka,India,Rajkot,262.9,332.1301098149078,264.15263157894736,196
Sri Lanka,India,Vadodara,222.29999999999998,294.2521443296767,247.70000000000002,244
India,South Africa,Hyderabad (Deccan),266.2,330.0,282.56842105263155,249
South Africa,India,Bengaluru,301.70000000000005,299.1722613739872,245.4157894736842,169
India,South Africa,Kolkata,268.79999999999995,303.0,287.2789473684211,188
South Africa,India,Mumbai,232.4,218.3649917193016,238.13157894736844,221
Australia,New Zealand,Auckland,344.4,337.0,276.23157894736846,252
Australia,New Zealand,Wellington,302.1,175.00000000000006,272.8315789473684,322
Australia,New Zealand,Christchurch,301.0,279.00000000000006,279.07894736842104,331
England,Pakistan,Lahore,334.0,442.99999999999994,290.3,230
Sri Lanka,New Zealand,Queenstown,187.3,185.0362252020573,243.8263157894737,164
Sri Lanka,New Zealand,Christchurch,143.39999999999998,263.2383958036189,222.1157894736842,255
New Zealand,Sri Lanka,Wellington,115.1,260.4,253.2421052631579,224
Sri Lanka,New Zealand,Napier,189.79999999999998,219.31926400359865,225.2842105263158,273
Australia,Sri Lanka,Melbourne (Docklands),178.49999999999997,187.00000000000003,284.4736842105263,318
Australia,South Africa,Brisbane,264.9,212.33333333333334,293.98947368421057,228
Sri Lanka,South Africa,Brisbane,328.9,215.0,229.69473684210524,282
Sri Lanka,Australia,Sydney,187.79999999999998,326.0,241.64736842105262,309
South Africa,Sri Lanka,Adelaide,184.0,248.38721717563075,239.4,263
Sri Lanka,Australia,Adelaide,303.4,269.08665233910403,252.7473684210526,218
Sri Lanka,South Africa,Perth,325.8,263.2887269312639,246.43684210526317,221
Australia,South Africa,Melbourne (Docklands),256.2,269.5,275.5421052631579,281
Australia,South Africa,Sydney,273.5,257.4,276.4631578947368,344
India,Pakistan,Peshawar,283.0,258.46803606518586,269.2105263157895,328
Sri Lanka,South Africa,Hobart,266.90000000000003,237.12291520246032,240.2263157894737,257
Sri Lanka,Australia,Adelaide,236.6,260.09055682097926,248.45263157894738,274
Pakistan,India,Rawalpindi,293.09999999999997,305.9,275.7631578947369,265
Australia,Sri Lanka,Sydney,289.0,309.8,294.29999999999995,368
Pakistan,India,Lahore,288.1,297.8,277.68947368421055,288
Sri Lanka,Australia,Brisbane,258.0,308.3333333333333,259.9526315789474,266
Pakistan,India,Multan,314.8,342.47661521858646,286.6578947368421,161
New Zealand,West Indies,Wellington,286.3,248.6,243.94736842105263,288
Pakistan,India,Karachi,167.89999999999998,352.0,254.7684210526316,286
Bangladesh,Sri Lanka,Bogra,108.19999999999999,182.42959950096107,176.2842105263158,118
West Indies,New Zealand,Queenstown,163.69999999999996,170.17127477863323,196.4157894736842,200
Sri Lanka,Bangladesh,Bogra,281.5,124.5675504442541,253.1526315789474,212
New Zealand,West Indies,Christchurch,297.70000000000005,286.6,239.54736842105262,276
Sri Lanka,Bangladesh,Chattogram,226.7,213.6323359078241,245.1578947368421,309
Australia,South Africa,Centurion,325.9,412.0,312.5526315789474,229
New Zealand,West Indies,Napier,277.5,269.0,248.3736842105263,324
South Africa,Australia,Cape Town,322.6,232.8,250.04736842105262,289
New Zealand,West Indies,Auckland,331.8,219.40000000000003,270.33684210526314,233
Australia,South Africa,Port Elizabeth,295.70000000000005,216.0,300.9789473684211,254
South Africa,Australia,Durban,351.80000000000007,266.7,258.2684210526316,246
Australia,South Africa,Johannesburg,260.40000000000003,363.1,291.73157894736846,434
Sri Lanka,Pakistan,Colombo (RPS),316.1,305.9,261.6526315789474,130
Sri Lanka,Pakistan,Colombo (SSC),214.1,315.70000000000005,240.5157894736842,224
India,England,Delhi,177.29999999999998,275.6860189278221,285.7,203
England,India,Faridabad,313.79999999999995,173.56414791396992,279.9526315789474,226
India,England,Margao,160.99999999999997,302.0,274.08947368421053,294
England,India,Kochi,264.0,300.1472738107061,274.04210526315785,237
England,India,Indore,207.10000000000002,303.07391944114147,272.1842105263158,288
India,Pakistan,Abu Dhabi,301.9,296.6220563207472,253.80526315789473,197
India,Pakistan,Abu Dhabi,197.50000000000003,224.66519708389967,231.58947368421053,269
Bangladesh,Australia,Chattogram,236.8,153.15318948241307,171.77894736842106,195
Australia,Bangladesh,Fatullah,244.0,317.9073717016209,318.4473684210526,250
Bangladesh,Australia,Fatullah,252.1,175.2764862908111,172.26842105263157,124
West Indies,India,Kingston,203.09999999999997,245.5,207.26315789473682,198
India,West Indies,Basseterre,278.1,295.4221460424729,234.4736842105263,245
India,West Indies,Port of Spain,243.89999999999998,268.3333333333333,227.47894736842105,217
West Indies,India,Port of Spain,207.60000000000002,189.29999999999998,194.76315789473682,255
Sri Lanka,England,Lord's,285.5,232.28240625412934,243.3842105263158,257
Sri Lanka,England,The Oval,279.0,236.7891972080201,233.94210526315788,319
England,Sri Lanka,Chester-le-Street,157.99999999999997,188.51365791464337,264.6736842105263,261
England,Sri Lanka,Leeds,220.8,222.2900223375056,270.95263157894743,321
England,Pakistan,Lord's,226.4,256.40000000000003,289.4315789473684,166
England,Pakistan,Southampton,167.5,214.65279851289745,260.8631578947368,271
Pakistan,England,Nottingham,275.0,360.0,270.8315789473684,235
Pakistan,England,Birmingham,266.7,228.91945341773337,273.2052631578947,154
Australia,West Indies,Kuala Lumpur,275.5,318.56080646176036,304.93684210526317,279
India,West Indies,Kuala Lumpur,207.9,308.87731187472815,226.81052631578947,309
Australia,West Indies,Kuala Lumpur,292.40000000000003,357.82989011625386,306.0368421052632,272
India,West Indies,Kuala Lumpur,262.5,318.9004503006557,238.85263157894735,162
Australia,India,Kuala Lumpur,329.09999999999997,265.0,300.5,213
Australia,West Indies,Kuala Lumpur,282.0,188.66666666666669,292.64736842105265,240
Sri Lanka,Bangladesh,Mohali,282.1,-94.99999999999983,271.5368421052632,302
West Indies,Sri Lanka,Mumbai (BS),300.8,248.23156844976964,207.8157894736842,80
England,India,Jaipur,255.8,270.43908677571744,247.6684210526316,125
New Zealand,South Africa,Mumbai (BS),222.4,83.87711113452825,261.0736842105263,195
Sri Lanka,Pakistan,Jaipur,179.5,232.26730436093393,276.29999999999995,253
West Indies,Australia,Mumbai (BS),270.7,124.6725069543356,188.96842105263158,234
New Zealand,Sri Lanka,Mumbai (BS),168.8,176.4656944656634,249.44210526315788,165
England,Australia,Jaipur,262.20000000000005,240.4118318298262,218.33684210526314,169
South Africa,Sri Lanka,Ahmedabad,238.6,316.0927994661328,245.9157894736842,219
New Zealand,Pakistan,Mohali,259.8,240.5233718554919,240.77894736842106,274
