batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,no_of_matches_batsman,batsman_score,batsman_quantile
Yuvraj Singh,India,315,0.9210526315789473,39.375,10.0,5.21791387440272,1,0.0500103755965968,1.0418828249291,0.021512395142725238,8,6.17799236520306,4
K Rabada,South Africa,47,1.175,15.666666666666666,8.662839713938807,6.497208722457496,2,0.006822901216256304,2.1113777945578596,0.10580184237878973,3,6.161748714013271,4
JN Mohammed,West Indies,467,0.7400950871632329,31.133333333333333,1.0,7.733183325900778,1,0.23768736616702354,1.5692477723285212,0.0373016133705232,15,6.116069349820435,4
Shakib Al Hasan,Bangladesh,387,0.8376623376623377,38.7,2.1656960941645207,6.241546313013108,1,0.2565707133917397,1.0589373079986346,0.027763380922892128,10,6.033585239968838,4
HH Pandya,India,454,1.135,28.375,10.0,4.155874646965905,1,0.04689769661755551,1.0683470607971173,0.042263373388734454,16,6.003001451338054,4
SPD Smith,Australia,362,0.8208616780045351,40.22222222222222,4.155460768679217,8.475863451462153,1,0.10747051114023591,0.9868938401048493,0.027171862104719655,9,5.968294543375727,4
TM Head,Australia,442,0.876984126984127,40.18181818181818,4.155460768679217,7.868661624957055,0,0.17693315858453473,0.9448983575471962,0.030026325520242907,11,5.9196765309563535,4
Mohammad Hafeez,Pakistan,496,0.8322147651006712,33.06666666666667,7.256554212631874,3.355591210782661,1,0.15037910699241785,1.0236944313590581,0.03375257599243628,15,5.825126737490068,4
AJ Finch,Australia,310,0.9226190476190477,62.0,4.155460768679217,8.054501362273646,0,0.061598951507208385,0.9370507168672306,0.02088779965721784,5,5.717899748930016,4
WU Tharanga,Sri Lanka,711,0.8670731707317073,39.5,1.8461268490271732,7.921733418617846,0,0.12593703148425786,1.0618781518331744,0.02704940990267588,18,5.563024876273181,4
JJ Roy,England,425,1.0191846522781776,35.416666666666664,7.325930073207967,5.607539053472088,0,0.08307307932542161,0.9618827976104678,0.028176976099081104,12,5.506798756020652,4
AD Mathews,Sri Lanka,416,0.7375886524822695,46.22222222222222,1.8461268490271732,9.69517269029243,0,0.11544227886056972,0.9733883058470765,0.03250087742268399,9,5.495743922433663,4
Hasan Ali,Pakistan,40,1.6,8.0,7.256554212631874,3.2317272008184,1,0.007582139848357203,3.177999759297148,0.2182178902359924,5,5.453899873135089,4
DA Miller,South Africa,295,1.068840579710145,32.77777777777778,8.662839713938807,5.4321252741340835,0,0.054286561851082764,1.1132015454282271,0.02547661603278791,9,5.447320122949492,4
KS Williamson,New Zealand,497,0.8174342105263158,38.23076923076923,5.1362534056841165,7.085903559571151,0,0.091164095371669,0.9466734445145367,0.03726713604229966,13,5.426491852825238,4
BKG Mendis,Sri Lanka,351,0.7252066115702479,23.4,1.8461268490271732,7.871872873990499,1,0.2143928035982009,0.9357615309992063,0.03742855292162972,15,5.423425267826866,4
TWM Latham,New Zealand,390,0.81419624217119,32.5,5.1362534056841165,5.8859027389586585,1,0.0949041608228144,0.9174068879538726,0.027718538650639755,12,5.339698972813418,4
JDS Neesham,New Zealand,285,0.9726962457337884,28.5,5.1362534056841165,5.67852987488152,1,0.08041140719962599,1.1951145395044414,0.045213858664486906,10,5.234653786233162,4
AK Markram,South Africa,66,1.0819672131147542,66.0,8.662839713938807,2.1656960941645207,0,0.019578760011865915,1.0925590013178947,0.0,1,5.1627614142601175,4
SS Iyer,India,162,0.9585798816568047,54.0,10.0,1.8461268490271732,0,0.031749325586221205,1.0977160442044565,0.024610841494742634,3,5.158472431982666,4
MS Wade,Australia,173,0.8606965174129353,24.714285714285715,4.155460768679217,8.432316692932499,1,0.07601572739187418,0.9701668258657841,0.028376305677913407,7,5.099964622263979,4
Sharjeel Khan,Pakistan,250,1.1111111111111112,50.0,7.256554212631874,4.155460768679217,0,0.012215669755686605,1.0860840928237727,0.03725486615258723,5,5.069979893788533,4
