batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score,batsman_quantile
JA Richardson,Australia,47,0.9215686274509803,15.666666666666666,3.4241371531694114,3.5812069650779335,1,0.006742617995814926,1.3960284077698633,0.07405714479169687,3.1148186231129076,4
NM Coulter-Nile,Australia,132,1.1785714285714286,22.0,3.4241371531694114,2.5925318767254253,1,0.02232039060683562,1.4120747113074479,0.02798585392747781,3.078891842496833,4
Mohammad Hafeez,Pakistan,381,0.9247572815533981,34.63636363636363,1.9791734609476543,2.233548094134605,2,0.10823311748381129,1.05322647097692,0.03707126250595618,3.077279518449816,4
HH Pandya,India,254,1.1339285714285714,28.22222222222222,3.581206965077933,2.1621296326135035,0,0.04216867469879518,1.6698795180722892,0.052929730966947704,3.059941113563378,4
HE van der Dussen,South Africa,586,0.8172942817294282,48.833333333333336,1.7985702469573437,2.1073553731215022,0,0.16382036685641999,0.8566440016866962,0.033572126440834064,2.9874759828218362,4
V Shankar,India,179,0.9226804123711341,29.833333333333332,3.581206965077933,2.9095139806430126,0,0.02750130958617077,0.9221810101556295,0.07243968134916708,2.9769012953353555,4
HM Nicholls,New Zealand,410,0.8333333333333334,31.53846153846154,2.9073118279569887,2.22821976617262,0,0.12056262558606833,0.9176319155242803,0.029894920063979504,2.941493951102279,4
SPD Smith,Australia,361,0.8356481481481481,40.111111111111114,3.4241371531694114,2.106043818785754,0,0.046500813764240874,0.9209182899831182,0.028596404593544865,2.94126827265778,4
JDS Neesham,New Zealand,417,1.0664961636828645,34.75,2.9073118279569887,1.8487459807217876,0,0.08305425318151373,1.319121888541083,0.03909698083001526,2.9405360711702744,4
Fakhar Zaman,Pakistan,616,0.9390243902439024,38.5,1.9791734609476543,2.146981070005264,0,0.13922294172062905,0.9082826282393714,0.027823615726081816,2.939843555249374,4
SN Thakur,India,17,2.4285714285714284,17.0,3.581206965077933,0.8532234432234432,0,0.004452592980618125,2.6448402304871657,0.0,2.9321073034175695,4
MDKJ Perera,Sri Lanka,568,0.9726027397260274,40.57142857142857,0.8184408602150538,2.147492001086471,1,0.18485523385300667,1.124784467274948,0.03022368591889466,2.928466899796239,4
RR Pant,India,285,1.0401459854014599,31.666666666666668,3.581206965077933,1.886284092251834,0,0.02566788894709272,1.5467693078552396,0.04776821771924318,2.9196198120654486,4
Abid Ali,Pakistan,191,0.955,47.75,1.9791734609476543,2.7100808062904838,1,0.034227567067530065,1.165750666594112,0.01833422672424934,2.8950228774362,4
AD Mathews,Sri Lanka,431,0.832046332046332,47.888888888888886,0.8184408602150538,1.9717568930472156,1,0.2212323682256867,0.9847777098895611,0.02499132396295233,2.8752889103705215,4
MP Stoinis,Australia,329,0.7908653846153846,19.352941176470587,3.4241371531694114,2.7742793638998573,0,0.04161822831899558,0.9526182411709794,0.06343708650600584,2.845400816046587,4
RA Jadeja,India,190,0.9313725490196079,27.142857142857142,3.581206965077933,2.6157581895830737,0,0.01571503404924044,0.8951111174896129,0.03965851841262155,2.8118883817764915,3
N Pooran,West Indies,502,1.0613107822410148,45.63636363636363,0.8532234432234432,2.770032611572201,0,0.08355437665782493,1.533819628647215,0.027179788756438783,2.8104446910993373,3
C de Grandhomme,New Zealand,225,1.1479591836734695,22.5,2.9073118279569887,2.3310836153094217,0,0.04822505023442733,1.6142428105351856,0.042951476729966125,2.7986702842237,3
DAJ Bracewell,New Zealand,72,1.125,36.0,2.9073118279569887,3.581206965077933,0,0.0,0.0,0.033671751485073696,2.76503442726985,3
