bowler,country,inverse_economy,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,no_of_matches_bowler,bowler_score,bowler_quantile
Shakib Al Hasan,Bangladesh,0.22467866323907457,10.0,0.9090909090909091,0.02570694087403599,6,5.097985921430424,3.5326093574529467,0.1206896551724138,0.14080459770114942,11,4.590422875966577,3
Ben Stokes,England,0.16897506925207756,5.0,0.45454545454545453,0.013850415512465374,7,10.000000000000002,6.22675983654507,0.015151515151515152,0.03679653679653679,11,4.577251484031279,3
Ashley Nurse,West Indies,0.19402985074626866,8.0,1.1428571428571428,0.023880597014925373,2,1.7933354114031586,7.825633310360608,0.13636363636363635,0.20454545454545456,7,4.5397141449401825,3
Umesh Yadav,India,0.14363636363636365,4.0,1.0,0.014545454545454545,2,9.871368852058248,5.896667705701581,0.017699115044247787,0.11504424778761063,4,4.420750328121771,3
Hasan Ali,Pakistan,0.15320910973084886,10.0,1.1111111111111112,0.020703933747412008,1,1.0,6.12138179446416,0.25,0.25,9,4.351225083284528,3
Colin Munro,New Zealand,0.20574162679425836,6.0,0.75,0.028708133971291867,5,5.04195208743842,5.500000000000001,0.07462686567164178,0.11940298507462686,8,4.299888958350345,3
Dhananjaya de Silva,Sri Lanka,0.18461538461538463,6.0,0.75,0.03076923076923077,3,4.556830402876305,7.385483496730194,0.06976744186046512,0.11627906976744186,8,4.26368144145946,3
Mohammed Shami,India,0.14285714285714285,3.0,1.5,0.02142857142857143,1,9.871368852058248,1.7933354114031586,0.017699115044247787,0.23008849557522126,2,4.238458908236243,3
Sam Curran,England,0.13333333333333333,2.0,1.0,0.022222222222222223,1,10.000000000000002,3.070306772311493,0.015151515151515152,0.25757575757575757,2,4.229737499713529,3
Jason Holder,West Indies,0.16062176165803108,6.0,0.75,0.015544041450777202,2,1.7933354114031586,8.081350253072813,0.13636363636363635,0.20454545454545456,8,4.02317288222531,3
Shadab Khan,Pakistan,0.21601049868766403,12.0,1.2,0.031496062992125984,1,1.0,6.013438823761586,0.125,0.125,10,3.9870908971229504,3
Kane Richardson,Australia,0.16666666666666666,6.0,2.0,0.038461538461538464,0,1.5837831417466806,10.000000000000002,0.0,0.0,3,3.9581959520778947,3
Suresh Raina,India,0.16666666666666666,0.0,0.0,0.0,1,9.871368852058248,10.000000000000002,0.0,0.0,3,3.833955458405616,3
Kane Williamson,New Zealand,0.28205128205128205,2.0,1.0,0.05128205128205128,1,5.04195208743842,1.0,0.029850746268656716,0.23880597014925373,2,3.8301066379066633,3
Morne Morkel,South Africa,0.18446601941747573,2.0,0.4,0.009708737864077669,1,4.661960684137039,9.871368852058248,0.0196078431372549,0.11764705882352941,5,3.779382927941418,3
Colin de Grandhomme,New Zealand,0.2159090909090909,5.0,0.5,0.01893939393939394,5,5.04195208743842,5.500000000000001,0.04477611940298507,0.07164179104477612,10,3.7706232418657963,3
Siddarth Kaul,India,0.1487603305785124,0.0,0.0,0.0,1,9.871368852058248,10.000000000000002,0.0,0.0,2,3.750855689926146,3
Joe Root,England,0.15857142857142856,2.0,0.16666666666666666,0.007142857142857143,9,10.000000000000002,3.138957520695578,0.015151515151515152,0.028619528619528618,12,3.721952537543161,3
Chris Morris,South Africa,0.1674641148325359,2.0,0.4,0.009569377990430622,1,4.661960684137039,9.871368852058248,0.0196078431372549,0.11764705882352941,5,3.698952431430997,3
